recipe_name,ingredients,instructions,difficulty,time_to_cook_min,cuisine,tags
Spaghetti Carbonara,spaghetti; pancetta or guanciale; eggs; Pecorino Romano; black pepper; salt; olive oil,"Boil spaghetti until al dente. Fry pancetta in a pan until crisp. Whisk eggs with grated Pecorino and pepper. Toss hot pasta with pancetta and fat off the heat, then quickly mix in egg mixture until creamy. Season and serve immediately.",medium,25,Italian,comfort food; contains pork; not vegetarian
Margherita Pizza,pizza dough; tomato passata; mozzarella; fresh basil; olive oil; salt,"Stretch dough into a thin round. Spread a thin layer of tomato passata, scatter sliced mozzarella and a drizzle of olive oil. Bake in a very hot oven until puffed and golden, then top with fresh basil leaves and serve.",medium,30,Italian,vegetarian; comfort food
Pasta Bolognese,tagliatelle or spaghetti; minced beef; onion; carrot; celery; garlic; tomato puree; chopped tomatoes; red wine; milk; olive oil; salt; pepper; Italian herbs,"Sauté finely chopped onion, carrot, celery and garlic in olive oil. Add minced beef and brown well. Stir in tomato puree, chopped tomatoes, wine and a splash of milk. Simmer until rich and thick. Serve over cooked pasta.",medium,60,Italian,high protein; comfort food
Penne Arrabbiata,penne; garlic; crushed red chilli flakes; canned tomatoes; olive oil; parsley; salt; pepper,"Cook penne until al dente. Gently fry sliced garlic and chilli flakes in olive oil. Add canned tomatoes, season and simmer until slightly thickened. Toss in the penne and chopped parsley, then serve.",easy,25,Italian,vegan; dairy free; spicy
Risotto alla Milanese,Arborio rice; onion; butter; olive oil; white wine; chicken stock; saffron; Parmesan; salt; pepper,"Soften finely chopped onion in butter and oil. Stir in rice and toast briefly. Add wine and let it evaporate. Gradually add hot stock with saffron, stirring until creamy. Finish with butter and Parmesan.",medium,35,Italian,comfort food; contains dairy
Pesto Genovese Pasta,spaghetti or trofie; fresh basil; pine nuts; garlic; Parmesan; Pecorino; olive oil; salt,"Cook pasta until al dente. Blend basil, pine nuts, garlic, cheeses and olive oil into a loose paste. Toss hot drained pasta with pesto and a splash of cooking water until glossy.",easy,20,Italian,vegetarian; nut containing
Lasagne al Forno,lasagne sheets; minced beef; onion; carrot; celery; garlic; tomato sauce; butter; flour; milk; nutmeg; mozzarella; Parmesan; olive oil; salt; pepper,"Cook a meat sauce by sautéing vegetables and browning beef, then simmering with tomato sauce. Make a white sauce with butter, flour and milk. Layer lasagne sheets with meat sauce, white sauce and cheese. Bake until bubbling and golden.",hard,90,Italian,family meal; high calorie; contains gluten
Eggplant Parmigiana,eggplant; tomato sauce; mozzarella; Parmesan; basil; flour; eggs; breadcrumbs; olive oil; salt; pepper,"Slice eggplant and coat in flour, beaten egg and breadcrumbs. Fry until golden. Layer in a dish with tomato sauce, mozzarella, Parmesan and basil. Bake until the cheese melts and the top is browned.",medium,60,Italian,vegetarian; comfort food
Caprese Salad,ripe tomatoes; fresh mozzarella; basil; extra virgin olive oil; balsamic vinegar; salt; pepper,"Slice tomatoes and mozzarella. Arrange alternating slices on a plate with basil leaves. Drizzle with olive oil and a little balsamic, then season with salt and pepper.",easy,10,Italian,vegetarian; gluten free; low carb
Minestrone Soup,onion; carrot; celery; garlic; potatoes; courgette; canned tomatoes; cannellini beans; small pasta; vegetable stock; olive oil; Italian herbs; salt; pepper,"Sauté chopped onion, carrot, celery and garlic in olive oil. Add diced vegetables, tomatoes, beans, herbs and stock. Simmer until tender, then add small pasta and cook until al dente.",easy,40,Italian,vegetarian; high fiber
